,,,Model I,Model I,Model I,Model II,Model II,Model II
,,,SPCA,SPCA-LS,PCA,SPCA,SPCA-LS,PCA
,ut,omega,,,,,,
Loadings,Normal,10,-1.0,0.17190573529406986,0.17190573529406986,-0.33723135016653133,-0.3370967638647173,-0.3370967638647173
Loadings,Normal,1,-1.0,0.14463121886462288,0.14463121886462288,0.2596297835311283,-0.25958769966434225,-0.25958769966434225
Loadings,Normal,0.1,-1.0,0.15331625458016584,0.15331625458016584,0.2396141253409002,-0.2395904961008591,-0.2395904961008591
Loadings,LogN,10,-1.0,0.17190569585725973,0.17190569585725973,-0.3365527178167699,-0.3365493587952361,-0.3365493587952361
Loadings,LogN,1,-1.0,0.146039740954135,0.146039740954135,0.25959027086033937,-0.25958804243106387,-0.25958804243106387
Loadings,LogN,0.1,-1.0,0.08102423915225344,0.08102423915225344,-0.23960636910118305,-0.23960856021030008,-0.23960856021030008
Factors,Normal,10,-1.0,0.17190573529406986,0.17190573529406986,-0.33723135016653133,-0.3370967638647173,-0.3370967638647173
Factors,Normal,1,-1.0,0.14463121886462288,0.14463121886462288,0.2596297835311283,-0.25958769966434225,-0.25958769966434225
Factors,Normal,0.1,-1.0,0.15331625458016584,0.15331625458016584,0.2396141253409002,-0.2395904961008591,-0.2395904961008591
Factors,LogN,10,-1.0,0.17190569585725973,0.17190569585725973,-0.3365527178167699,-0.3365493587952361,-0.3365493587952361
Factors,LogN,1,-1.0,0.146039740954135,0.146039740954135,0.25959027086033937,-0.25958804243106387,-0.25958804243106387
Factors,LogN,0.1,-1.0,0.08102423915225344,0.08102423915225344,-0.23960636910118305,-0.23960856021030008,-0.23960856021030008
