,,,Model I,Model I,Model I,Model II,Model II,Model II
,,,SPCA,SPCA-LS,PCA,SPCA,SPCA-LS,PCA
,ut,omega,,,,,,
Loadings,Normal,10,0.824830453269937,0.8246606970364576,0.8257689319103703,0.9966981767811737,0.9974012782939327,0.97611121656388
Loadings,Normal,1,0.9797313710527947,0.9822130944435775,0.9822130944435775,0.9945279486374298,0.9940920675095037,0.9937352437069702
Loadings,Normal,0.1,0.9871355248836176,0.9872982391970233,0.9872982391970233,0.9815306402729145,0.9896280091064249,0.9896280091064249
Loadings,LogN,10,0.6956799954078515,0.6163095084377336,0.6903291321163715,0.7622286166730424,0.9455007964840777,0.7967422479286266
Loadings,LogN,1,0.9024448337571379,0.8579955534758652,0.8450628797338944,0.6668757329886306,0.6742365021735451,0.923171300994131
Loadings,LogN,0.1,0.8917353238900371,0.8961611787324499,0.8880476085874514,0.6147439348601879,0.6088748824722008,0.8950846178857284
Factors,Normal,10,0.824830453269937,0.8246606970364576,0.8257689319103703,0.9966981767811737,0.9974012782939327,0.97611121656388
Factors,Normal,1,0.9797313710527947,0.9822130944435775,0.9822130944435775,0.9945279486374298,0.9940920675095037,0.9937352437069702
Factors,Normal,0.1,0.9871355248836176,0.9872982391970233,0.9872982391970233,0.9815306402729145,0.9896280091064249,0.9896280091064249
Factors,LogN,10,0.6956799954078515,0.6163095084377336,0.6903291321163715,0.7622286166730424,0.9455007964840777,0.7967422479286266
Factors,LogN,1,0.9024448337571379,0.8579955534758652,0.8450628797338944,0.6668757329886306,0.6742365021735451,0.923171300994131
Factors,LogN,0.1,0.8917353238900371,0.8961611787324499,0.8880476085874514,0.6147439348601879,0.6088748824722008,0.8950846178857284
