Data,F1,F2,F3,F4 ,F5,F6,F7,F8
7/1968,-0.063319241,-0.112065374,-0.162250862,0.143423006,-0.077621033,-3.64E-03,-0.09677337,0.055134153
8/1968,-0.167800531,-0.185721586,-0.167331176,0.156896285,-0.202112605,-0.03858708,0.070032909,0.212273582
9/1968,-0.203963198,-0.03665939,-0.065187551,0.132485672,-0.013050649,0.0647138,-0.098990269,-0.080536564
10/1968,-0.307153556,-0.148020842,0.061075417,0.075855573,0.049128098,0.106582179,-0.125162627,0.127274886
11/1968,-0.466674285,-0.042840281,-0.07021714,-0.010363749,-0.084184629,0.132485308,0.00108032,0.078706446
12/1968,-0.202291655,-0.099394462,-0.224933237,-0.148378361,0.136905744,-0.139365126,-0.10246793,0.070642381
1/1969,-0.310869877,-0.201681894,-0.017172159,-0.071146094,0.058590674,0.011622278,0.134110476,0.013868072
2/1969,-0.371471426,-0.160277937,-0.141736741,0.012855348,-0.022560211,0.088012788,0.008708347,0.197449473
3/1969,-0.302109998,-0.32460156,0.105654307,-0.061430345,-0.106308328,0.042011574,0.197878343,-0.023786247
4/1969,-0.05648308,-0.271475383,-0.381358118,0.035862656,-0.037032136,-0.004518567,-0.274264346,0.003924169
5/1969,-0.126758718,-0.49270324,-0.350957144,-0.005938112,-0.158112831,0.006469494,-0.38991647,0.047497856
6/1969,-0.358262742,-0.604981102,-0.207563526,-0.25291619,-0.174643886,0.200798545,0.190774824,0.168136547
7/1969,-0.175647859,-0.249353017,-0.317245094,-0.294700712,-0.079612651,0.336218403,0.168354761,-0.032519446
8/1969,-0.201644292,-0.417807074,-0.246951535,0.008475839,-0.307154817,0.128955486,-0.162940949,0.056686927
9/1969,0.09324128,-0.454902609,-0.168772439,-0.158724614,-0.017828975,0.223458499,-0.111437985,-0.25072082
10/1969,-0.076830891,-0.397251036,-0.201210457,-0.016931681,-0.18384584,0.064916283,-0.139585946,0.297645482
11/1969,0.297521476,-0.443992593,-0.154435161,-0.099563975,-0.022805641,-0.107288207,-0.1726502,-0.048530261
12/1969,0.007453346,-0.405540456,-0.270575175,-0.350672608,0.02669354,-0.017205997,0.077917522,0.112077449
1/1970,0.677329955,-0.486549638,-0.295997579,-0.147873636,0.023763557,-0.160283447,-0.133796009,0.23645975
2/1970,0.241890217,-0.329030979,-0.27412107,0.031474375,-0.208291061,0.353101903,0.115974574,0.152925272
3/1970,0.382335018,-0.182118179,-0.225697275,0.260358045,-0.187142414,0.09675584,0.138819615,0.12104655
4/1970,0.458112986,-0.445353905,-0.088421508,-0.128119355,0.073963501,0.258487579,0.200645647,0.111306675
5/1970,0.309451891,-0.13172758,-0.345579732,-0.400587373,0.268969922,0.241200493,0.399098791,-0.023626025
6/1970,0.280543255,-0.199126924,0.000184942,0.002633815,0.107799964,0.095444539,0.077540424,-0.102509589
7/1970,0.076948406,-0.042687151,-0.087474213,0.168794827,0.017712876,0.104438733,0.093715309,0.126770426
8/1970,0.446411743,0.046383938,-0.103381913,0.160036446,0.229949913,-0.053160843,-0.047322276,-0.087347072
9/1970,0.488390434,-0.225296911,0.200595243,0.271744651,0.251434983,0.020695167,-0.041288187,0.197408278
10/1970,0.990605539,-0.31059081,-0.154134161,0.24317876,0.570943805,-0.223180043,-0.155361596,0.347544802
11/1970,0.67586048,-0.091995084,-0.15467187,0.337768195,0.182024101,0.085218086,0.262612544,-0.109163347
12/1970,-0.529812485,0.397523837,0.232268695,0.548994403,-0.08970888,0.858930277,0.214773734,-0.075936316
1/1971,-0.040677292,0.296509398,0.0022505,0.477374215,0.169789413,0.227534846,-0.038048465,0.074826555
2/1971,0.147356297,0.141960251,0.099052355,0.45976029,0.095684085,-0.060180343,-0.041340288,-0.023485504
3/1971,0.129837259,-0.014973559,-0.022517751,0.321170182,0.21905932,-0.031015417,0.065752332,0.062980178
4/1971,-0.306069074,-0.037656959,0.060560721,0.052334742,0.37569644,0.083693495,-0.081057346,0.049726441
5/1971,-0.344549781,-0.142579055,0.030039571,-0.063602935,0.355355495,-0.041909162,0.117735209,-0.077555353
6/1971,-0.169074169,-0.017904773,3.93E-03,-0.021913252,0.436107634,0.183111151,0.086346478,-0.093235949
7/1971,-0.104715249,-0.033464916,-0.224283878,0.028279906,0.495995374,-0.100636754,0.136747965,0.149896032
8/1971,0.020338787,-0.289333228,-0.087717981,0.303688667,0.172244112,-0.170922689,0.06080528,-0.026861397
9/1971,-0.438359051,0.129326499,-0.154192734,0.441991388,-0.019791393,0.25005215,0.084309366,0.016968248
10/1971,-0.213519158,-0.035180504,0.054498262,0.310021354,0.137043403,0.218284416,0.312249135,-0.067610718
11/1971,-0.20486124,-0.096603131,-0.113265219,0.334220085,0.125617247,0.103730661,0.229980591,0.226328186
