qdate,price1,price2,price3,price4,price5
19520630,98.178,96.253,94.247,92.634,90.418
19520731,98.095,96.031,93.931,92.309,89.852
19520829,98.058,95.975,93.782,92.146,89.572
19520930,98.031,95.91,93.755,92.096,89.168
19521031,98.111,95.974,93.758,91.929,89.725
19521128,97.955,95.742,93.64,91.878,89.643
19521231,98.022,95.713,93.587,91.905,89.54
19530130,98.051,95.796,93.8,91.812,89.271
19530227,97.95,95.703,93.666,91.617,88.923
19530331,97.947,95.668,93.193,91.002,88.317
19530430,97.664,95.161,93.622,90.763,87.408
19530529,97.445,94.815,93.002,90.016,85.91
19530630,97.608,95.231,93.315,90.714,86.966
19530731,97.74,95.447,93.386,90.766,87.296
19530831,97.657,95.581,93.342,90.616,86.988
19530930,97.996,95.859,93.492,91.473,88.576
19531030,98.354,96.403,94.357,92.144,89.351
19531130,98.436,96.369,94.434,92.156,88.599
19531231,98.438,96.47,94.28,92.49,89.523
19540129,98.846,97.153,95.098,93.436,89.918
19540226,98.9,97.436,95.599,93.682,91.023
19540331,98.947,97.609,95.817,93.808,91.309
19540430,99.168,97.75,95.935,94.005,92.403
19540528,99.149,97.816,95.788,92.95,91.503
19540630,99.271,98.191,96.125,93.617,91.54
19540730,99.371,98.171,96.077,93.783,91.62
19540831,99.179,98.167,96.088,93.783,91.317
19540930,99.065,97.919,95.532,93.681,91.021
19541029,98.954,97.415,95.328,93.117,91.176
19541130,98.963,97.351,95.3,92.771,90.746
19541231,98.871,97.074,94.985,92.347,90.359
19550131,98.715,96.522,94.516,91.906,89.882
19550228,98.355,96.267,93.961,91.093,88.933
19550331,98.458,96.026,93.652,91.268,88.952
19550429,98.374,95.867,93.371,91.29,88.947
19550531,98.2,95.98,93.268,91.163,88.723
19550630,98.178,95.772,92.976,90.672,88.181
19550729,97.999,95.46,92.723,90.386,87.474
19550831,97.876,95.048,92.379,89.979,87.087
19550930,98.027,95.337,92.808,90.198,87.548
19551031,97.946,95.487,92.938,90.47,88.078
19551130,97.454,95.19,92.081,90.156,87.259
19551230,97.368,94.871,91.915,89.998,86.922
19560131,97.651,95.174,92.55,90.203,87.663
19560229,97.52,95.22,92.423,90.064,87.405
19560329,97.513,94.716,92.188,89.66,86.188
19560430,97.101,93.892,91.236,88.969,85.887
19560531,97.21,94.39,91.836,89.141,86.444
19560629,97.496,94.511,91.99,89.296,86.736
19560731,97.32,93.978,91.621,88.466,85.511
19560831,96.932,93.841,90.763,87.337,84.199
19560928,96.852,93.739,90.495,87.114,83.927
19561031,96.967,93.776,90.764,87.437,84.095
19561130,96.64,93.266,89.854,86.987,83.434
19561231,96.614,93.1,89.926,86.84,83.268
19570131,97.071,93.621,90.799,87.868,84.74
19570228,96.817,93.491,90.402,87.377,84.433
19570329,96.66,93.737,90.62,87.309,84.362
19570430,96.583,93.733,90.107,86.911,83.78
19570531,96.586,93.46,89.747,86.446,83.072
19570627,96.454,93.189,89.422,85.706,82.068
19570731,96.188,92.944,89.244,85.47,81.689
19570830,96.194,92.937,89.254,85.73,82.916
19570930,96.043,92.533,88.996,85.472,81.54
19571031,96.254,92.372,88.676,84.911,82.48
19571129,96.624,94.11,91.147,87.621,84.144
19571231,97.35,95.036,92.23,89.296,86.819
19580131,97.97,95.635,92.931,89.588,86.79
19580228,98.286,96.256,93.692,90.491,87.757
19580331,98.515,96.192,93.661,90.902,88.09
19580430,98.733,96.74,94.224,91.581,88.512
19580529,98.887,97.073,94.347,92.182,88.812
19580630,98.906,96.718,93.613,90.521,87.986
19580731,98.4,96.316,92.928,89.507,86.835
19580829,97.25,93.52,90.282,86.405,83.406
19580930,97.064,93.425,90.105,86.339,83.068
19581031,97.02,93.674,89.594,86.547,83.362
19581128,96.812,93.784,89.862,86.511,84.308
19581231,97.09,93.95,89.687,86.134,82.839
19590130,96.947,93.453,89.126,85.366,82.15
19590227,96.597,93.398,89.662,85.954,82.863
19590331,96.508,92.863,89.166,85.744,82.213
19590430,96.281,92.498,88.865,84.95,81.508
19590529,96.199,92.339,88.338,84.575,80.925
19590630,95.988,91.774,87.961,83.823,80.102
19590731,95.777,92.108,88.11,83.812,79.607
19590831,95.603,91.447,87.276,82.978,79.047
19590930,95.31,90.927,86.761,82.672,79.087
19591030,95.885,91.886,87.36,83.406,80.867
19591130,95.287,90.899,86.633,82.348,79.482
19591231,95.256,90.64,86.091,82.256,78.601
19600129,95.437,91.107,86.836,82.952,79.215
19600229,95.544,91.555,86.96,83.127,79.515
19600331,96.452,92.768,89.164,85.245,81.687
19600429,95.949,92.212,88.168,83.933,80.975
19600531,96.049,91.997,88.318,84.236,80.276
19600630,96.881,92.878,89.372,85.376,81.952
19600729,97.188,93.977,91.082,86.934,84.257
19600831,97.144,94.244,90.651,86.848,83.892
19600930,97.201,94.739,90.477,86.577,83.969
19601031,97.212,94.058,90.273,86.462,83.715
19601130,97.034,93.821,90.006,85.745,83.188
19601230,97.407,94.583,91.085,87.453,84.209
19610131,97.255,93.925,90.397,86.615,83.387
19610228,97.069,93.984,90.545,87.072,83.987
19610330,97.145,94.354,90.974,87.704,84.173
19610428,97.154,94.062,90.792,88.258,84.578
19610531,97.113,93.781,90.265,87.831,83.779
19610630,97.055,93.71,89.989,86.485,83.403
19610731,97.151,93.886,89.679,86.484,83.378
19610831,96.998,93.71,89.678,85.879,83.261
19610929,97.074,93.981,89.699,86.437,83.569
19611031,97.105,93.864,90.025,86.914,83.178
19611130,97.074,93.612,89.704,86.836,82.768
19611229,96.922,93.438,89.453,86.124,82.476
19620131,96.761,93.245,89.231,85.631,82.051
19620228,96.914,93.714,90.117,86.612,83.08
19620330,97.162,93.887,90.498,86.881,83.593
19620430,97.039,93.651,90.401,86.672,83.513
19620531,97.1,93.88,90.534,86.856,83.613
19620629,96.984,93.451,90.068,86.536,83.293
19620731,96.746,93.351,89.91,86.442,83.008
19620831,97.02,93.859,90.443,87.041,83.779
19620928,97.065,94.01,90.495,87.037,83.242
19621031,97.12,94.007,90.547,87.265,83.454
19621130,97.128,93.796,90.371,87.179,83.792
19621231,97.066,93.784,90.349,87.252,83.99
19630131,97.016,94.065,90.301,87.048,83.509
19630228,97.082,93.981,90.294,86.952,83.299
19630329,96.994,93.835,90.21,86.518,83.212
19630430,96.941,93.659,89.974,86.461,83.178
19630531,96.916,93.666,89.889,86.284,82.942
19630628,96.898,93.628,89.911,86.17,82.8
19630731,96.564,93.017,89.602,85.877,82.516
19630830,96.361,92.942,89.549,85.741,82.356
19630930,96.36,92.924,89.526,85.709,82.187
19631031,96.4,92.76,89.357,85.447,81.945
19631129,96.259,92.658,89.245,85.537,82.077
19631231,96.233,92.472,88.892,85.198,81.838
19640131,96.292,92.5,88.846,85.4,81.921
19640228,96.14,92.336,88.616,85.16,81.761
19640331,96.165,92.171,88.36,84.731,81.594
19640430,96.298,92.362,88.586,84.925,81.55
19640528,96.24,92.433,88.759,85.105,81.94
19640630,96.291,92.721,88.976,85.318,81.957
19640731,96.321,92.953,89.043,85.306,81.84
19640831,96.259,92.804,88.953,85.245,81.792
19640930,96.178,92.687,88.864,85.221,81.901
19641030,96.179,92.557,88.753,85.201,81.833
19641130,95.873,92.26,88.442,84.938,81.598
19641231,96.031,92.445,88.777,85.207,81.555
19650129,95.983,92.426,88.831,85.274,81.535
